"Conexiones","Generar UUID","Ctrl+Alt+Mayús+U","En ventanas","org.jkiss.dbeaver.core.generate.uuid"
"Editor SQL","Abrir Declaración","F4","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.navigate.object"
"Editar","Conmutar Quick Diff","Ctrl+Mayús+Q","Edición de texto","org.eclipse.quickdiff.toggle"
"Resultados","Alternar paneles de resultados","F7","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.grid.togglePreview"
"Edición de texto","Final del texto","Ctrl+Fin","Edición de texto","org.eclipse.ui.edit.text.goto.textEnd"
"Editar","Arreglos rápidos","Ctrl+1","En diálogos y ventanas","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"Ventana","Mostrar menú del sistema","Alt+-","En ventanas","org.eclipse.ui.window.showSystemMenu"
"Editar","Búsqueda incremental inversa","Ctrl+Mayús+J","Edición de texto","org.eclipse.ui.edit.findIncrementalReverse"
"Edición de texto","Bajar líneas","Alt+↓","Edición de texto","org.eclipse.ui.edit.text.moveLineDown"
"Editar","Borrar","Borrar","En ventanas","org.eclipse.ui.edit.delete"
"Editar","Cortar","Mayús+Borrar","En diálogos y ventanas","org.eclipse.ui.edit.cut"
"Editar","Seleccionar todo","Ctrl+A","En diálogos y ventanas","org.eclipse.ui.edit.selectAll"
"Resultados","Primer registro","Ctrl+Alt+Mayús+←","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.row.first"
"Editar","Asistencia de contenido","Ctrl+Espacio","Contexto de Editor SQL","org.eclipse.ui.edit.text.contentAssist.proposals"
"Editor SQL","Cerrar pestaña","Ctrl+Mayús+\","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.close.tab"
"Edición de texto","Seleccionar hasta el final de línea","Mayús+Fin","Edición de texto","org.eclipse.ui.edit.text.select.lineEnd"
"Editar","Activar/desactivar selección de bloques","Alt+Mayús+A","Edición de texto","org.eclipse.ui.edit.text.toggleBlockSelectionMode"
"Oracle","Compile","Ctrl+F9","En ventanas","org.jkiss.dbeaver.ext.oracle.code.compile"
"Ventana","Ir a un editor","Ctrl+Mayús+E","En ventanas","org.eclipse.ui.window.switchToEditor"
"Utilidades","Copiar especial","Ctrl+Mayús+C","En ventanas","org.jkiss.dbeaver.core.edit.copy.special"
"Resultados","Activar resultados/panel","Ctrl+Mayús+7","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.grid.activatePreview"
"Editar","Búsqueda incremental","Ctrl+J","Edición de texto","org.eclipse.ui.edit.findIncremental"
"Editar","Buscar siguiente","Ctrl+K","En ventanas","org.eclipse.ui.edit.findNext"
"Navegar","Página anterior","Alt+Mayús+F7","En ventanas","org.eclipse.ui.part.previousPage"
"Resultados","Referencias","Ctrl+1","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.referencesMenu"
"Ventana","Editor anterior","Ctrl+Mayús+F6","En ventanas","org.eclipse.ui.window.previousEditor"
"Resultados","Duplicar registro","Ctrl+Alt+Insertar","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.row.copy"
"Navegar","Ir a línea","Ctrl+L","Edición de texto","org.eclipse.ui.edit.text.goto.line"
"Editor SQL","Importar script SQL","Ctrl+Alt+Mayús+O","Contexto de Editor SQL","org.jkiss.dbeaver.ui.editors.sql.open.file"
"archivo","Guardar","Ctrl+S","En ventanas","org.eclipse.ui.file.save"
"Conexiones","Asignar conexión activa","Ctrl+9","En ventanas","org.jkiss.dbeaver.ui.tools.select.connection"
"archivo","Cerrar","Ctrl+F4","En ventanas","org.eclipse.ui.file.close"
"archivo","Renovar","F5","En ventanas","org.eclipse.ui.file.refresh"
"Vistas","Mostrar vista (Buscar)","Alt+Mayús+Q,S","En ventanas","org.eclipse.ui.views.showView"
"Editar","Deshacer","Ctrl+Z","En diálogos y ventanas","org.eclipse.ui.edit.undo"
"Resultados","Activar editor de filtro/datos","Ctrl+Alt+Mayús+T","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.focus.filter"
"Editar","Conclusión de palabra","Ctrl+Mayús+Espacio","Contexto de Editor SQL","org.eclipse.ui.edit.text.hippieCompletion"
"Buscar","Abrir diálogo Buscar","Ctrl+H","En ventanas","org.eclipse.search.ui.openSearchDialog"
"Buscar","Buscar texto en el espacio de trabajo","Ctrl+Alt+G","En ventanas","org.eclipse.search.ui.performTextSearchWorkspace"
"Edición de texto","Subir líneas","Alt+↑","Edición de texto","org.eclipse.ui.edit.text.moveLineUp"
"Resultados","Copy from row below","Ctrl+Alt+D","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.row.copy.from.below"
"Editar","Información contextual","Ctrl+Mayús+Espacio","En diálogos y ventanas","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Editor SQL","Visualizar plan de ejecución","Ctrl+Mayús+E","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.run.explain"
"Ventana","Cambiar rápido de editor","Ctrl+E","En ventanas","org.eclipse.ui.window.openEditorDropDown"
"Resultados","Alternar entre vista de tabla/registro","Tabulador","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.toggleMode"
"Edición de texto","Combinar líneas","Ctrl+Alt+J","Edición de texto","org.eclipse.ui.edit.text.join.lines"
"Editor SQL","Alternar Comentario de Bloque","Ctrl+Mayús+/","Contexto de Editor SQL","org.jkiss.dbeaver.ui.editors.sql.comment.multi"
"Edición de texto","Mostrar ayuda de contexto","F2","Edición de texto","org.eclipse.ui.edit.text.showInformation"
"Vistas","Mostrar vista","Alt+Mayús+Q,Q","En ventanas","org.eclipse.ui.views.showView"
"Edición de texto","Subir líneas","Ctrl+Mayús+↑","Contexto de Editor SQL","org.eclipse.ui.edit.text.moveLineUp"
"Ventana","Editor siguiente","Ctrl+F6","En ventanas","org.eclipse.ui.window.nextEditor"
"Ventana","Vista siguiente","Ctrl+F7","En ventanas","org.eclipse.ui.window.nextView"
"Conexiones","Herramientas de contexto","Alt+`","En ventanas","org.jkiss.dbeaver.ui.tools.menu"
"Editor SQL","Definir conexión a partir del navegador","Ctrl+Mayús+.","Contexto del navegador de base de datos","org.jkiss.dbeaver.ui.editors.sql.sync.connection"
"Editar","Copiar","Ctrl+Insertar","En diálogos y ventanas","org.eclipse.ui.edit.copy"
"Edición de texto","Conmutar sobrescritura","Insertar","Edición de texto","org.eclipse.ui.edit.text.toggleOverwrite"
"Editar","Pegar","Ctrl+V","En diálogos y ventanas","org.eclipse.ui.edit.paste"
"Navegar","Contraer todo","Ctrl+Mayús+Núm_/","En ventanas","org.eclipse.ui.navigate.collapseAll"
"Resultados","Definir por defecto","Ctrl+⟵","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.cell.setDefault"
"View","Zoom Out","Ctrl+-","En ventanas","org.eclipse.gef3.zoom_out"
"Navegar","Punto de edición anterior","Ctrl+Q","En ventanas","org.eclipse.ui.edit.text.gotoLastEditPosition"
"Ventana","Conmutar editor separado (Vertical)","Ctrl+{","En ventanas","org.eclipse.ui.window.splitEditor"
"Resultados","Añadir registro","Alt+Insertar","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.row.add"
"Edición de texto","Acercar","Ctrl++","Edición de texto","org.eclipse.ui.edit.text.zoomIn"
"Edición de texto","Inicio de línea","Inicio","Edición de texto","org.eclipse.ui.edit.text.goto.lineStart"
"archivo","Menú Nuevo","Alt+Mayús+N","En ventanas","org.eclipse.ui.file.newQuickMenu"
"Editar","Conclusión de palabra","Alt+/","Edición de texto","org.eclipse.ui.edit.text.hippieCompletion"
"Editor SQL","Renombrar Script SQL","Ctrl+F2","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.rename"
"Editar","Conmutar modalidad de inserción","Ctrl+Mayús+Insertar","Edición de texto","org.eclipse.ui.edit.text.toggleInsertMode"
"Editor SQL","Ejecutar Script SQL","Alt+X","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.run.script"
"Conexiones","Modificar Objeto","F4","Contexto del navegador de base de datos","org.jkiss.dbeaver.core.object.open"
"Resultados","Cambiar presentación","Ctrl+`","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.switchPresentation"
"Ventana","Buscar acciones","Ctrl+3","En ventanas","org.eclipse.ui.window.quickAccess"
"Navegador de Bases de Datos","Editar tarea","Intro","En ventanas","org.jkiss.dbeaver.task.edit"
"Resultados","Registro anterior","Ctrl+Alt+←","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.row.previous"
"proyecto","Construir todo","Ctrl+B","En ventanas","org.eclipse.ui.project.buildAll"
"Resultados","Obtener todos los datos","Ctrl+Mayús+=","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.fetch.all"
"Edición de texto","Expandir todo","Ctrl+Núm_*","Edición de texto","org.eclipse.ui.edit.text.folding.expand_all"
"Edición de texto","Seleccionar palabra siguiente","Ctrl+Mayús+→","Edición de texto","org.eclipse.ui.edit.text.select.wordNext"
"Edición de texto","Seleccionar palabra anterior","Ctrl+Mayús+←","Edición de texto","org.eclipse.ui.edit.text.select.wordPrevious"
"Resultados","Reestablecer cambios de celda","Esc","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.cell.reset"
"Conexiones","Nuevo script SQL","Ctrl+]","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.create"
"Ventana","Perspectiva anterior","Ctrl+Mayús+F8","En ventanas","org.eclipse.ui.window.previousPerspective"
"Resultados","Alternar paneles de resultados","Ctrl+7","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.grid.togglePreview"
"Editar","Buscar anterior","Ctrl+Mayús+K","En ventanas","org.eclipse.ui.edit.findPrevious"
"Edición de texto","Conmutar repliegue","Ctrl+Núm_/","Edición de texto","org.eclipse.ui.edit.text.folding.toggle"
"Editar","Pegar","Mayús+Insertar","En diálogos y ventanas","org.eclipse.ui.edit.paste"
"Navegar","Sub-pestaña anterior","Alt+RePág","En diálogos y ventanas","org.eclipse.ui.navigate.previousSubTab"
"Conexiones","Open Dashboard","Ctrl+Alt+Mayús+B","DBeaver Perspective","org.jkiss.dbeaver.ui.dashboard.open"
"Editar","Asistencia de contenido","Ctrl+Espacio","En diálogos y ventanas","org.eclipse.ui.edit.text.contentAssist.proposals"
"Navegar","Pestaña anterior","Ctrl+RePág","En diálogos y ventanas","org.eclipse.ui.navigate.previousTab"
"Editor SQL","Ejecutar Comando SQL","Ctrl+Intro","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.run.statement"
"Edición de texto","Insertar línea debajo de línea actual","Mayús+Intro","Edición de texto","org.eclipse.ui.edit.text.smartEnter"
"Conexiones","Script SQL reciente","Ctrl+Intro","Contexto del navegador de base de datos","org.jkiss.dbeaver.core.sql.editor.recent"
"Resultados","Eliminar registro actual","Alt+Borrar","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.row.delete"
"archivo","Cerrar todos","Ctrl+Mayús+F4","En ventanas","org.eclipse.ui.file.closeAll"
"archivo","Nuevo","Ctrl+N","En ventanas","org.eclipse.ui.newWizard"
"Conexiones","Script SQL","F3","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.open"
"Conexiones","Seleccionar esquema activo","Ctrl+0","En ventanas","org.jkiss.dbeaver.ui.tools.select.schema"
"View","Toggle hand tool","Tabulador","En ventanas","org.jkiss.dbeaver.erd.toggleHand"
"Edición de texto","En mayúsculas","Ctrl+Mayús+X","Edición de texto","org.eclipse.ui.edit.text.upperCase"
"Ventana","Asistencia de teclas","Ctrl+Mayús+L","En diálogos y ventanas","org.eclipse.ui.window.showKeyAssist"
"Editar","Información contextual","Ctrl+Alt+Espacio","Contexto de Editor SQL","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Vistas","Mostrar vista (Problemas)","Alt+Mayús+Q,X","En ventanas","org.eclipse.ui.views.showView"
"Editor SQL","Alternar el panel de resultados","Ctrl+6","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.toggle.result.panel"
"Editor SQL","Ir a paréntesis emparejado","Ctrl+Mayús+P","Contexto de Editor SQL","org.jkiss.dbeaver.ui.editors.sql.gotoMatchingBracket"
"archivo","Guardar todo","Ctrl+Mayús+S","En ventanas","org.eclipse.ui.file.saveAll"
"Navegar","Página siguiente","Alt+F7","En ventanas","org.eclipse.ui.part.nextPage"
"Navegador de Bases de Datos","Enlazar al editor","Ctrl+Mayús+,","En ventanas","org.jkiss.dbeaver.core.navigator.linkeditor"
"Edición de texto","Desplazar línea hacia arriba","Ctrl+↑","Edición de texto","org.eclipse.ui.edit.text.scroll.lineUp"
"Edición de texto","Combinar líneas","Ctrl+Mayús+J","Contexto de Editor SQL","org.eclipse.ui.edit.text.join.lines"
"Editor SQL","Formato de contenido","Ctrl+Mayús+F","En ventanas","org.jkiss.dbeaver.ui.editors.text.content.format"
"Ventana","Perspectiva siguiente","Ctrl+F8","En ventanas","org.eclipse.ui.window.nextPerspective"
"archivo","Imprimir","Ctrl+P","En ventanas","org.eclipse.ui.file.print"
"Resultados","Edición en línea","Intro","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.row.edit.inline"
"Edición de texto","Expandir","Ctrl+Núm_+","Edición de texto","org.eclipse.ui.edit.text.folding.expand"
"Navegar","Siguiente","Ctrl+.","En ventanas","org.eclipse.ui.navigate.next"
"Resultados","Obtener página siguiente","Ctrl+Alt+;","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.fetch.page"
"Editar","Rehacer","Ctrl+Y","En diálogos y ventanas","org.eclipse.ui.edit.redo"
"archivo","Propiedades","Alt+Intro","En ventanas","org.eclipse.ui.file.properties"
"Utilidades","Advanced Paste ...","Ctrl+Mayús+V","En ventanas","org.jkiss.dbeaver.core.edit.paste.special"
"Edición de texto","En minúsculas","Ctrl+Mayús+Y","Edición de texto","org.eclipse.ui.edit.text.lowerCase"
"Resultados","Modificar celda","Mayús+Intro","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.row.edit"
"Navegar","Expandir todo","Ctrl+Mayús+Núm_*","En ventanas","org.eclipse.ui.navigate.expandAll"
"Editor SQL","Alternar Comentario de Línea","Ctrl+9","Contexto de Editor SQL","org.jkiss.dbeaver.ui.editors.sql.comment.single"
"Resultados","Alternar orden de ordenamiento de los resultados","Ctrl+2","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.toggleOrder"
"Edición de texto","Seleccionar hasta el inicio de línea","Mayús+Inicio","Edición de texto","org.eclipse.ui.edit.text.select.lineStart"
"Editar","Buscar y reemplazar","Ctrl+F","En ventanas","org.eclipse.ui.edit.findReplace"
"Editor SQL","Alternar ajuste de palabras","Ctrl+Alt+Mayús+W","Contexto de Editor SQL","org.jkiss.dbeaver.ui.editors.sql.word.wrap"
"Ventana","Activar editor","F12","En ventanas","org.eclipse.ui.window.activateEditor"
"Resultados","Aplicar cambios","Ctrl+S","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.applyChanges"
"archivo","Redenominar","F2","En ventanas","org.eclipse.ui.edit.rename"
"Resultados","Copy from row above","Ctrl+D","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.row.copy.from.above"
"Edición de texto","Palabra anterior","Ctrl+←","Edición de texto","org.eclipse.ui.edit.text.goto.wordPrevious"
"Ventana","Show Contributing Plug-in","Alt+Mayús+F3","En diálogos y ventanas","org.eclipse.ui.window.spy"
"Ventana","Conmutar editor separado (Horizontal)","Ctrl+_","En ventanas","org.eclipse.ui.window.splitEditor"
"Navegar","Anterior","Ctrl+,","En ventanas","org.eclipse.ui.navigate.previous"
"Edición de texto","Restablecer estructura","Ctrl+Mayús+Núm_*","Edición de texto","org.eclipse.ui.edit.text.folding.restore"
"Edición de texto","Bajar líneas","Ctrl+Mayús+↓","Contexto de Editor SQL","org.eclipse.ui.edit.text.moveLineDown"
"Navegar","Mostrar en...","Alt+Mayús+W","En ventanas","org.eclipse.ui.navigate.showInQuickMenu"
"Edición de texto","Desplazar línea hacia abajo","Ctrl+↓","Edición de texto","org.eclipse.ui.edit.text.scroll.lineDown"
"Navegador de Bases de Datos","Establecer por defecto","Ctrl+Mayús+A","En ventanas","org.jkiss.dbeaver.core.navigator.set.default"
"Conexiones","Commit","Ctrl+Alt+Mayús+K","En ventanas","org.jkiss.dbeaver.core.commit"
"Editor SQL","Consulta siguiente","Alt+↓","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.query.next"
"Búsqueda rápida","Búsqueda rápida","Ctrl+Alt+Mayús+F","En ventanas","org.eclipse.text.quicksearch.commands.quicksearchCommand"
"Editor SQL","Consulta anterior","Alt+↑","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.query.prev"
"Búsqueda rápida","Búsqueda rápida","Ctrl+Alt+Mayús+L","En ventanas","org.eclipse.text.quicksearch.commands.quicksearchCommand"
"Ventana","Vista anterior","Ctrl+Mayús+F7","En ventanas","org.eclipse.ui.window.previousView"
"Resultados","Rechazar cambios","Ctrl+R","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.rejectChanges"
"Editor SQL","Cambiar panel activo","Alt+6","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.switch.panel"
"Conexiones","Open SQL console","Ctrl+Alt+Intro","Contexto del navegador de base de datos","org.jkiss.dbeaver.core.sql.editor.console"
"Resultados","Navegar enlace","Alt+Espacio","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.navigateLink"
"Resultados","Filtrar por valor","Ctrl+F11","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.filterMenu.distinct"
"Conexiones","Nuevo script SQL","Ctrl+F3","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.create"
"Resultados","Referencias","Ctrl+Mayús+1","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.referencesMenu"
"Navegador de Bases de Datos","Añadir marcador","Ctrl+Alt+Mayús+D","Contexto de visualización del navegador de base de datos","org.jkiss.dbeaver.core.navigator.bookmark.add"
"Navegar","Sub-pestaña siguiente","Alt+AvPág","En diálogos y ventanas","org.eclipse.ui.navigate.nextSubTab"
"Editor SQL","Mostrar salida del servidor","Ctrl+Mayús+O","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.show.output"
"Edición de texto","Duplicar líneas","Ctrl+Alt+↑","Edición de texto","org.eclipse.ui.edit.text.copyLineUp"
"Edición de texto","Copiar líneas","Ctrl+Alt+↓","Edición de texto","org.eclipse.ui.edit.text.copyLineDown"
"Edición de texto","Suprimir palabra anterior","Ctrl+⟵","Edición de texto","org.eclipse.ui.edit.text.deletePreviousWord"
"Edición de texto","Final de línea","Fin","Edición de texto","org.eclipse.ui.edit.text.goto.lineEnd"
"Editor SQL","Ejecutar comandos en pestañas separadas","Ctrl+Alt+Mayús+X","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.run.scriptNew"
"Editor SQL","Execute SQL Script from the position","Alt+P","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.run.scriptFromPosition"
"Edición de texto","Suprimir línea","Ctrl+D","Edición de texto","org.eclipse.ui.edit.text.delete.line"
"Resultados","Último registro","Ctrl+Alt+Mayús+→","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.row.last"
"Conexiones","Script SQL","Ctrl+[","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.open"
"Navegar","Abrir recurso","Ctrl+Mayús+R","En ventanas","org.eclipse.ui.navigate.openResource"
"Navegar","Historial hacia atrás","Alt+←","En ventanas","org.eclipse.ui.navigate.backwardHistory"
"Ventana","Maximizar la vista o editor activo","Ctrl+M","En ventanas","org.eclipse.ui.window.maximizePart"
"Editar","Copiar","Ctrl+C","En diálogos y ventanas","org.eclipse.ui.edit.copy"
"Navegar","Punto de edición siguiente","Ctrl+Alt+→","En ventanas","org.eclipse.ui.edit.text.gotoNextEditPosition"
"Editor SQL","Ejecutar SQL en una pestaña nueva","Ctrl+\","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.run.statementNew"
"Editor SQL","Seleccionar conteo de filas","Ctrl+Alt+Mayús+C","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.run.count"
"Ventana","Mostrar menú de contexto de la regla","Ctrl+F10","Edición de texto","org.eclipse.ui.edit.text.showRulerContextMenu"
"Ventana","Conmutar pantalla completa","Alt+F11","En diálogos y ventanas","org.eclipse.ui.window.fullscreenmode"
"Resultados","Aplicar cambios de celda","Ctrl+Alt+Mayús+Intro","Contexto de edición de resultados","org.jkiss.dbeaver.core.resultset.cell.save"
"Ayuda","Show Context Help","F1","En ventanas","org.eclipse.ui.help.dynamicHelp"
"Vistas","Mostrar vista (Esquema)","Alt+Mayús+Q,O","En ventanas","org.eclipse.ui.views.showView"
"Ventana","Mostrar menú de vista","Ctrl+F10","En diálogos y ventanas","org.eclipse.ui.window.showViewMenu"
"Editor SQL","Evaluar expresión SQL","Ctrl+Alt+'","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.run.expression"
"archivo","Cerrar","Ctrl+W","En ventanas","org.eclipse.ui.file.close"
"Navegar","Punto de edición anterior","Ctrl+Alt+←","En ventanas","org.eclipse.ui.edit.text.gotoLastEditPosition"
"Vistas","Mostrar vista (Historial)","Alt+Mayús+Q,Z","En ventanas","org.eclipse.ui.views.showView"
"Vistas","Mostrar vista (Error Log)","Alt+Mayús+Q,L","En ventanas","org.eclipse.ui.views.showView"
"Editor SQL","Maximizar panel de resultados","Ctrl+Mayús+6","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.maximize.result.panel"
"Resultados","Menú de filtros","F11","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.filterMenu"
"Conexiones","Abrir Objeto de base de datos ...","Ctrl+Mayús+D","En ventanas","org.jkiss.dbeaver.core.object.goto"
"Edición de texto","Acercar","Ctrl+=","Edición de texto","org.eclipse.ui.edit.text.zoomIn"
"Editar","Alternar plegado de líneas","Alt+Mayús+Y","Edición de texto","org.eclipse.ui.edit.text.toggleWordWrap"
"Conexiones","Rollback","Ctrl+Alt+Mayús+R","En ventanas","org.jkiss.dbeaver.core.rollback"
"Edición de texto","Insertar línea encima de línea actual","Ctrl+Mayús+Intro","Edición de texto","org.eclipse.ui.edit.text.smartEnterInverse"
"Vistas","Mostrar vista (Consola)","Alt+Mayús+Q,C","En ventanas","org.eclipse.ui.views.showView"
"View","Zoom In","Ctrl+=","En ventanas","org.eclipse.gef3.zoom_in"
"Edición de texto","Alejar","Ctrl+-","Edición de texto","org.eclipse.ui.edit.text.zoomOut"
"Navegar","Historial hacia adelante","Alt+→","En ventanas","org.eclipse.ui.navigate.forwardHistory"
"Navegar","Ir a línea","Ctrl+G","En ventanas","org.eclipse.ui.edit.text.goto.line"
"Edición de texto","Contraer","Ctrl+Núm_-","Edición de texto","org.eclipse.ui.edit.text.folding.collapse"
"Edición de texto","Contraer todo","Ctrl+Mayús+Núm_/","Edición de texto","org.eclipse.ui.edit.text.folding.collapse_all"
"Edición de texto","Suprimir palabra siguiente","Ctrl+Borrar","Edición de texto","org.eclipse.ui.edit.text.deleteNextWord"
"archivo","Cerrar todos","Ctrl+Mayús+W","En ventanas","org.eclipse.ui.file.closeAll"
"Edición de texto","Suprimir hasta el final de línea","Ctrl+Mayús+Borrar","Edición de texto","org.eclipse.ui.edit.text.delete.line.to.end"
"Navegar","Siguiente pestaña","Ctrl+AvPág","En diálogos y ventanas","org.eclipse.ui.navigate.nextTab"
"Editor SQL","Seleccionar todas las filas","Ctrl+Alt+Mayús+A","Contexto de Editor de Script SQL","org.jkiss.dbeaver.ui.editors.sql.run.all.rows"
"Edición de texto","Inicio del texto","Ctrl+Inicio","Edición de texto","org.eclipse.ui.edit.text.goto.textStart"
"Vistas","Mostrar vista (Sincronizar)","Alt+Mayús+Q,Y","En ventanas","org.eclipse.ui.views.showView"
"Edición de texto","Palabra siguiente","Ctrl+→","Edición de texto","org.eclipse.ui.edit.text.goto.wordNext"
"Resultados","Registro siguiente","Ctrl+Alt+→","Contexto del visor de resultados","org.jkiss.dbeaver.core.resultset.row.next"
"archivo","Buscar archivo denominado...","Ctrl+O","En ventanas","org.eclipse.ui.edit.text.openLocalFile"
"Editar","Cortar","Ctrl+X","En diálogos y ventanas","org.eclipse.ui.edit.cut"
